"Department Profile","Year","Date","Event","12:00:00 AM","01:00:00 AM","02:00:00 AM","03:00:00 AM","04:00:00 AM","05:00:00 AM","06:00:00 AM","07:00:00 AM","08:00:00 AM","09:00:00 AM","10:00:00 AM","11:00:00 AM","12:00:00 PM","01:00:00 PM","02:00:00 PM","03:00:00 PM","04:00:00 PM","05:00:00 PM","06:00:00 PM","07:00:00 PM","08:00:00 PM","09:00:00 PM","10:00:00 PM","11:00:00 PM"
"G",2018,"Thursday",,23.1,14.3,10,8.9,9.8,9.6,9.5,17.1,19.7,25.1,26.8,27.2,26.8,27.2,23.6,26.7,26.5,26.1,24,26.9,20.9,23,17.7,15.6
"G",2018,"Friday",,20,14.4,10.7,9.2,8.7,9.9,10.6,16.1,19.3,25,26.2,27,23.8,25.6,24.5,24.3,26.2,22.8,23.8,26.4,21.6,20.3,22.5,16
"G",2018,"Saturday",,21.3,16,11.9,10.3,9.8,10.2,8.4,15.3,16.9,19.6,22.7,22.7,24.6,21.9,24.5,24.2,22.2,20.8,20.6,22.6,20.3,19.7,20.3,15.4
"G",2018,"Sunday",,21.3,14.7,13.3,11.1,10.8,10.6,11.9,17.5,16,23.5,23.3,23.6,22.8,21.8,23.8,22.8,23.1,23,20.4,24,21.8,20.7,17.6,18
"H",2018,"Monday",,22.4,4,3.1,3.5,3.3,5.4,5.3,11,13.5,16.9,16.9,14.8,17.2,14.6,13,13.1,15,16.4,14.7,12.7,13.1,9.8,6.7,6.2
"H",2018,"Tuesday",,19.6,4.8,2.7,2.7,3.4,3.6,6.4,9.4,13.4,13.8,14.7,15,14.9,14.5,11.5,13.9,15.3,13.4,14.6,13.3,10.6,9.1,6.4,4.9
"H",2018,"Wednesday",,19.2,3.3,2.7,2.9,3.8,5.1,6.2,10.1,12.7,15.9,15.6,16.5,15,14,13.3,13.6,15.4,14.3,13.7,12.8,10.8,9,7.8,5.7
"H",2018,"Thursday",,17.6,3.7,2.7,2.4,3,3.4,6.3,8.7,12.8,15,15.7,12.5,13.3,13.2,12.8,13.5,15.6,15.2,13.5,13,11.4,9.8,7.3,4.8
"H",2018,"Friday",,20.2,3.6,3.4,3.6,3.1,3.5,4.7,8.3,9.1,12.6,15,14.8,14.2,13.6,13.2,12.3,13.3,13.6,12.9,12.6,9.9,9.4,7.7,4.9
"H",2018,"Saturday",,19.3,4,3.6,3.1,3.3,3.1,4.3,9.1,10.8,12.3,15.1,15.4,14.5,13.2,13.7,14.4,13.2,13.3,13.2,11.8,11.3,9.7,8.2,6.2
"H",2018,"Sunday",,19.5,4.6,2.5,3.2,4.7,3.9,5.4,10.3,12.7,13.6,16.8,17,14.8,14.4,13.7,15.4,14.4,14.2,13,14,9.4,10.5,7.4,5.6
"I",2018,"Monday",,5.4,3.5,2.1,2.1,1.7,2.6,4.1,8.3,6.6,10.4,10.9,10.9,8.8,9.1,8.6,9.3,8.4,8.8,8.9,8.7,6,6.2,3.9,3.3
"I",2018,"Tuesday",,3.9,2.6,2.1,2,2.4,2.3,3.7,5.9,6.6,10.1,9.7,9.6,9.1,7.7,8.1,9.5,8,8.4,8.2,7.8,6.2,6.5,3.9,4.2
"I",2018,"Wednesday",,4.4,2.6,2.4,1.6,1.9,2.2,3.4,5.3,7,8,8.5,9.5,6.6,7.9,9.3,8.1,9.4,8.2,7.5,7.3,7.1,5.3,4,3.6
"I",2018,"Thursday",,4.6,2.4,2.4,2.2,1.2,1.6,3.4,7.2,8.8,9.2,9.3,8.8,8.5,7.8,7.5,8.9,8.3,8.5,7.6,7.9,6.5,6.1,5.4,3.2
"I",2018,"Friday",,5,3.1,2.2,2.7,1.7,2.5,4.1,5.6,6.2,9.7,8.2,6.4,8.9,8.3,9.4,8.5,7.8,8.3,8.4,7.4,6.5,5.1,5.3,2.8
"I",2018,"Saturday",,4.8,2.9,2.8,1.8,2.1,2.6,3.3,4.9,6.1,7.7,9.7,8.7,8.2,7.1,9.1,9.4,8.6,8.1,6.7,7.4,7.4,6.6,5.8,4.1
"I",2018,"Sunday",,6.6,2.9,3.6,3,2.3,1.9,3.8,4.1,5.8,7.9,10,8.9,9,8.6,8.8,8.5,7.6,8.9,7.3,7.9,9.1,5.9,4.4,3
"J",2018,"Monday",,6,4,3.6,2.4,2.4,3.9,5.9,6.8,9.3,11.6,11.5,13.1,12.6,11.6,11.8,13.2,11.7,9.9,9.9,10.4,10.3,7.8,6.4,4.4
"J",2018,"Tuesday",,5.6,4.5,3.3,3,2.5,3.5,4.3,7.4,8.4,11.8,10,9.9,9.7,10.4,11,11.6,11.1,11.2,11.3,9.9,9.5,8.1,6.3,4.8
"J",2018,"Wednesday",,6.3,4.4,2.2,2.9,2.2,3.5,5.4,5.8,8.4,10.4,10.8,12.2,11.3,9.3,10.4,9.5,10.1,11.5,9.2,11.1,8.9,7.6,6.1,4.3
"J",2018,"Thursday",,5.9,3.9,3,3,2.5,2.9,5.7,5.7,9.2,9.7,11.3,10.3,11,11.3,10.5,10,10.8,11.2,11.3,9.4,10,7.5,6.1,4.7
"J",2018,"Friday",,6.9,3.7,3.1,2.6,3.2,3.8,5.4,7,9.3,9.7,9.8,10.7,11.2,10.2,10.2,10.1,9.4,10,9.9,8.3,9.9,8.4,7.2,4.6
"J",2018,"Saturday",,6.5,3.1,2.5,2.7,3,1.8,5.4,5.6,8.4,9.1,10.4,9,10.6,10,9.2,10.2,10.1,8.9,8.7,9.8,10.5,7.6,7.1,5.8
"J",2018,"Sunday",,6.7,3.6,3.6,3.9,2.4,4.1,4.7,6.4,8.4,9.7,9.9,10.1,10.2,11.1,11.5,11,9.3,10.6,10.3,9.5,10.4,9.9,6.7,4.7
