"Department Profile","Year","Date","Event","12:00:00 AM","01:00:00 AM","02:00:00 AM","03:00:00 AM","04:00:00 AM","05:00:00 AM","06:00:00 AM","07:00:00 AM","08:00:00 AM","09:00:00 AM","10:00:00 AM","11:00:00 AM","12:00:00 PM","01:00:00 PM","02:00:00 PM","03:00:00 PM","04:00:00 PM","05:00:00 PM","06:00:00 PM","07:00:00 PM","08:00:00 PM","09:00:00 PM","10:00:00 PM","11:00:00 PM"
"D",2018,"Wednesday",,6.2,5.7,4.6,3.7,3.7,3.3,3.3,5.5,7,9.4,9.9,11.5,9.9,9.5,9.1,8.9,8.5,9,10.1,9.2,9.3,7.6,7.2,6.1
"D",2018,"Thursday",,6.1,5.5,4,4.3,3.8,3.5,3.7,5.4,7.3,9.1,9.4,10.2,9.3,9.1,9.2,9,8.3,9.2,8.9,8.1,8,7.4,7.5,6
"D",2018,"Friday",,5.5,5.2,4.4,3.5,3.5,3.2,3.7,5.1,6.8,8.3,9.4,11,9.8,9.4,8.3,8.4,8.8,8.7,8.4,8.2,7.8,7.6,6.8,5.9
"D",2018,"Saturday",,6.8,5.3,4.2,4.9,4.4,4.5,3.6,4.8,6.6,7.5,9.4,9.7,8.5,9,8.4,7.8,8,7.7,7.7,8.4,7.1,8.1,6.2,6.5
"D",2018,"Sunday",,6.6,4.9,4.9,5,4.3,4.2,3.1,5.4,6.9,8.4,9.2,9.6,8.6,9.3,9.2,8.7,8.8,8.3,8.1,7.5,7.5,8.5,6.6,5.9
"D",2018,"Monday","Summerfest",9,4,3,1,2,4,3,8,3,5,14,15,8,15,14,7,10,15,12,18,10,6,13,9
"D",2018,"Tuesday","Summerfest",7,12,2,5,1,3,4,1,4,14,11,11,9,11,10,10,17,7,10,13,9,11,9,13
"D",2018,"Wednesday","Summerfest",7.5,3.5,4.5,1,1,6,2.5,2.5,6.5,8,13,9.5,7,8.5,10,12.5,6,8.5,10.5,8,11.5,9.5,11,8
"D",2018,"Thursday","Summerfest",7.5,4,3.5,2.5,2.5,2,3,4.5,4.5,8,5,14.5,12.5,10,10,12,7,11,11.5,6,10.5,8.5,8.5,11
"D",2018,"Friday","Summerfest",4.5,4.5,3,2.5,2,2.5,2.5,2,5,5,9,8.5,12,7,8.5,8,7.5,13,7,12,9,12.5,7.5,7.5
"D",2018,"Saturday","Summerfest",9,7,7,6.5,2.5,2.5,4.5,4.5,6.5,9,8.5,5,8.5,11.5,10,8,11,9.5,10,8.5,12,8.5,6,11
"D",2018,"Sunday","Summerfest",6.5,4,3,2.5,3,4.5,3.5,3,6.5,10,7,10.5,12.5,13.5,11.5,9,12.5,9.5,12,11.5,9,11.5,8.5,5.5
"E",2018,"Monday",,1.3,1.2,0.7,1,1.2,1.1,1.5,2.2,2.3,2.9,3.4,3.1,3,3.6,3,3.1,2.8,2.9,3.1,2.4,2,1.7,1.3,1.5
"E",2018,"Tuesday",,0.9,0.9,0.8,0.9,0.8,1.1,1.1,2,2.4,2.7,2.4,2.8,2.8,2.8,2.8,2.6,2.5,2.6,2.5,2.3,2.5,1.7,1.4,1.4
"E",2018,"Wednesday",,1.2,0.6,0.6,0.7,0.8,1.4,1.6,1.7,2.2,2.7,2.9,3.1,2.6,2.8,2.4,2.6,2.6,2.9,2.7,2.4,2.2,1.9,1.3,1
"E",2018,"Thursday",,1.2,0.9,0.7,1.1,0.9,0.8,1,1.9,2.2,2.7,3.3,3.1,2.6,2.4,3.1,2,2.4,2.8,2.4,2.5,2.1,1.8,1.2,0.9
"E",2018,"Friday",,0.8,0.8,0.7,1.2,0.8,0.9,1.7,1.7,1.8,2.7,3,3.2,3.1,2.7,3.3,2.8,2.4,2.2,2.2,2.1,2.5,1.9,1.8,1.1
"E",2018,"Saturday",,1,1,1,1.2,1.3,1.2,1,1.6,2.1,3.1,3.1,2.9,2.8,2.6,2.6,2.2,2,2.3,2.3,2.1,1.8,1.6,1.3,1.1
"E",2018,"Sunday",,1.2,0.6,0.7,0.8,1.2,1.7,1.5,1.9,2.3,2.5,2.9,2.7,2.6,2.5,2.6,2.3,1.9,2,2.1,2,2.2,1.9,1.6,0.8
"F",2018,"Monday",,5.3,1.3,1.1,1,1,1.5,1.8,3.1,3.8,4.9,4.8,4.8,4.4,4.2,4.7,4.6,5,4,4,3.6,3.4,3.2,2.7,2
"F",2018,"Tuesday",,5.8,1.2,1.1,1.2,1.5,1.3,1.8,2.4,3.9,4.3,4.1,4.4,4.3,4,4,3.8,4.5,4,4.3,3.8,3.6,3.1,2.5,2
"F",2018,"Wednesday",,5.5,1.4,1.1,0.9,1.1,1.8,1.6,2.5,3.7,4.5,4.3,4.7,4.8,4,3.7,4.2,4.4,4.5,4.1,3.8,4,3.1,3,2.2
"F",2018,"Thursday",,5.5,1.4,1,1.1,1,1.3,1.8,1.9,3.4,4.5,4.2,4.9,4.3,4.2,4,3.9,4.1,4,3.5,3.6,3.2,3,2.3,1.8
"F",2018,"Friday",,4.9,1.6,1.2,0.9,1.3,1.3,1.2,2.6,3.5,4.2,4.2,3.9,4.1,4.5,3.9,4,3.9,3.6,3.7,3.6,3.7,2.8,2.5,2
"F",2018,"Saturday",,4.3,1.5,1.4,1.4,1.1,1.1,1.4,2.2,2.6,3.3,3.8,3.9,3.9,4,3.6,3.3,3.3,3.4,3.2,3.3,3,2.3,2.2,1.7
"F",2018,"Sunday",,4.4,1.2,1.1,1.3,1.5,1.1,1.2,2.9,2.8,3.7,3.8,4,3.7,4,4,3.8,4,3.9,3.4,3.3,3.4,3,2.2,2.4
"G",2018,"Monday",,8.8,6.3,5.2,3.9,3.8,4,3.8,6.8,8.5,9.3,10.4,11.8,11.2,10.3,10.7,10.5,11.2,10.1,9.6,11.6,9.8,8.6,7.2,7.5
"G",2018,"Tuesday",,9.9,6,4.5,3.5,3.3,3.2,4.1,6.7,7,10.4,11,11.2,10.3,9.8,10.4,9.3,10.5,9.6,9.6,11.2,11.1,9.2,8.1,6.9
"G",2018,"Wednesday",,9.1,5.6,3.9,3.4,3.6,3.6,4.2,6.9,7.4,9.8,10.3,9.8,9.4,9.5,9.6,9.5,9.7,10.7,9.1,11.5,10.6,8.8,8.2,7
"G",2018,"Thursday",,9,5.4,3.8,3.5,3.4,3.5,3.6,6.6,7.6,9.5,9.8,9.8,9.8,10.3,9.4,9.7,10.2,10.1,9.6,10.8,8.7,9.4,7.3,6.6
"G",2018,"Friday",,7.4,5.6,3.8,3.7,3.4,3.6,4,6,7.1,9.2,9.5,9.8,8.8,9.8,9.4,9.3,9.9,9.3,8.9,10.2,9,8.1,9.3,6.2
"G",2018,"Saturday",,8.2,6.1,4.7,4,3.7,3.9,3.3,5.7,6.3,7.5,8.6,8.8,9.8,8.8,9.3,9.3,8.2,8.4,7.7,9.2,8.3,7.8,8.3,5.9
"G",2018,"Sunday",,8.1,5.8,4.8,4.3,4.1,4.2,4.2,6.6,6.1,9.1,8.9,9.3,9.1,8.9,9.2,9.3,9.2,8.9,8,9.5,8.6,8.4,7.3,7.3
"H",2018,"Monday",,7.4,1.6,1.1,1.4,1.4,2.4,2.2,4.5,6,7.5,7.2,6.8,7.5,6.5,5.8,5.8,6.5,7.2,6.9,5.5,5.8,4.2,2.8,2.6
"H",2018,"Tuesday",,6.8,1.9,1.1,1.2,1.6,1.7,2.5,4.1,5.7,5.6,6.3,6.2,6.5,5.9,5.2,5.9,6.5,5.8,6.5,6,4.9,4,2.8,2.2
"H",2018,"Wednesday",,6.6,1.3,1.2,1.2,1.6,2.4,2.8,4.4,5.3,6.8,6.6,6.9,6,5.9,5.1,5.7,6.7,6.2,5.9,6.1,4.9,3.9,3.2,2.4
"H",2018,"Thursday",,6.3,1.4,1.2,1,1.1,1.8,2.6,4,5.4,6.2,6.5,5,5.8,5.4,5.4,5.8,6.7,6.8,5.8,5.5,5.2,4.1,3.3,2.1
"H",2018,"Friday",,7.2,1.4,1.3,1.5,1.3,1.4,1.9,3.5,4.1,5,6.1,6.2,6.1,5.7,5.9,5.4,5.6,5.8,5.8,5.4,4.3,3.8,3.3,2.2
"H",2018,"Saturday",,6.9,1.7,1.4,1.2,1.3,1.3,1.8,4,4.9,5.2,6.8,6.9,6.3,5.4,5.7,6.4,5.8,5.9,5.9,4.9,4.7,4,3.5,2.5
"H",2018,"Sunday",,7,1.8,1.1,1.1,2.2,1.7,2.4,4.4,5.4,6.2,8,7.7,6.7,6.5,6.5,6.6,6.6,6.5,6,6.1,4.3,4.6,3,2.3
"I",2018,"Monday",,1.8,1.3,0.7,0.7,0.6,1,1.3,2.3,2.1,3.2,3.3,3.3,2.8,3,2.8,2.7,2.6,3.1,3,3.2,2.3,2.1,1.5,1.2
"I",2018,"Tuesday",,1.5,1,0.7,0.7,0.8,0.8,1.2,1.8,1.9,3,2.8,3,2.8,2.4,2.4,3,2.7,2.8,2.7,2.9,2.1,2.2,1.3,1.4
"I",2018,"Wednesday",,1.5,0.9,0.9,0.5,0.7,0.7,1.1,1.7,2,2.6,2.7,3,2.2,2.4,3,2.6,3,2.9,2.6,2.3,2.7,1.9,1.5,1.3
"I",2018,"Thursday",,1.5,0.9,0.8,0.7,0.4,0.5,1,2.2,2.7,2.7,2.7,2.7,2.7,2.4,2.3,2.7,2.5,3,2.6,2.8,2.6,2.2,1.8,1.1
"I",2018,"Friday",,1.7,1,0.8,0.8,0.7,0.8,1.2,1.7,2,2.9,2.6,2,2.8,2.9,3,2.7,2.5,3,2.8,2.8,2.3,1.9,1.9,1.1
"I",2018,"Saturday",,1.6,0.9,0.9,0.7,0.7,0.8,1,1.4,1.9,2.5,3,2.7,2.7,2.4,3,2.9,3,3,2.5,2.6,2.6,2.3,2,1.4
"I",2018,"Sunday",,2.2,1,1.1,0.9,0.7,0.7,1.3,1.3,1.8,2.5,3.4,2.9,3.2,2.9,3,2.9,2.6,3.2,2.6,3,3.2,2.2,1.7,1.2
"J",2018,"Monday",,2.4,1.4,1.3,0.8,0.9,1.5,2,2.7,3.5,4.7,4.7,5.3,5,4.7,5.1,5.2,4.9,4.1,4.2,4.4,4.4,3.1,2.6,1.9
"J",2018,"Tuesday",,2.2,1.5,1.2,1,1,1.3,1.6,2.9,3.3,4.7,4.1,3.9,4,4.1,4.5,4.4,4.6,4.3,5,4.2,3.9,3.5,2.8,2
"J",2018,"Wednesday",,2.3,1.6,0.9,1.1,0.9,1.3,2,2.2,3.3,4.1,4.3,4.6,4.3,3.6,3.8,3.9,4.2,4.6,3.9,4.6,3.9,3.4,2.7,1.7
"J",2018,"Thursday",,2.3,1.5,1.1,1,0.8,1.1,2,2.2,3.5,3.6,4.1,3.8,4.2,4.7,4,3.8,4.2,4.6,4.7,4.1,4.3,3.3,2.6,2
"J",2018,"Friday",,2.5,1.4,1.1,1,1,1.3,1.9,2.6,3.4,3.8,3.9,4.1,4.4,4.2,4,3.8,3.8,4,4.1,3.6,4.1,3.4,2.9,1.9
"J",2018,"Saturday",,2.4,1.2,0.9,1,1.1,0.8,1.9,1.9,3.1,3.5,4.1,4,4.3,4.1,4,3.9,4.3,3.7,3.8,4.3,4.5,3.4,3,2.4
"J",2018,"Sunday",,2.5,1.4,1.2,1.4,0.9,1.4,1.7,2.2,3.4,3.8,3.9,4.1,4.4,4.7,4.8,4.4,4.1,4.7,4.4,3.9,4.4,4.1,2.8,2.1
