"Provider Profiles","Contacts 1","Contacts 2","Contacts 3","Contacts 4","Contacts 5","Contacts 6","Contacts 7","Contacts 8","Contacts 9","Contacts 10","Contacts 11","Contacts 12","Contacts 13","Contacts 14","Contacts 15","Contacts 16","Contacts 17","Contacts 18","Contacts 19","Contacts 20","Contacts 21","Contacts 22","Contacts 23","Contacts 24",,"Decisions 1","Decisions 2","Decisions 3","Decisions 4","Decisions 5","Decisions 6","Decisions 7","Decisions 8","Decisions 9","Decisions 10","Decisions 11","Decisions 12","Decisions 13","Decisions 14","Decisions 15","Decisions 16","Decisions 17","Decisions 18","Decisions 19","Decisions 20","Decisions 21","Decisions 22","Decisions 23","Decisions 24","Average of Arrival to Provider Hrs","Average of Provider to Decision Hrs","Average of Decision to Depart Hrs","Admit %","Discharge %"
"D - Doc - Zf",1.333,0.667,1.667,1.667,2,1,0.333,1.667,0.333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0.667,1.333,1,1,2,2.667,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.667,3.183,0.683,,
"D - Doc - Zg",2.395,1.814,1.494,1.287,1.023,1.092,0.517,0.151,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.221,0.5,1.023,1.437,1.46,1.563,1.402,1.512,0.958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,4.383,0.633,,
"D - Doc - Zh",0.511,0.34,0.4,0.373,0.373,0.466,0.361,0.484,0.469,0.373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.383,0.3,0.309,0.407,0.288,0.414,0.492,0.419,0.328,0.644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0.233,0.133,,
"D - Intake",0.511,0.34,0.4,0.373,0.373,0.466,0.361,0.484,0.469,0.373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.383,0.3,0.309,0.407,0.288,0.414,0.492,0.419,0.328,0.644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0.233,0.133,,
"D - Obs",2.021,1.98,1.613,1.401,1.676,1.575,0.887,0.479,0.169,0.769,0.667,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.472,1.221,1.587,1.737,1.419,1.445,1.631,1.443,1.09,1.538,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.483,2.333,0.833,,
"D - Quad A",3.114,2.366,2.411,2.45,2.401,2.356,1.847,0.914,0.2,0.333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1.573,2.346,2.337,2.397,2.577,2.422,2.424,1.943,0.633,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95,1.683,0.95,,
"D - Test 1",2.579,2.036,1.745,1.933,1.738,1.533,1.021,0.565,0.278,0.16,0.032,0.043,0.025,0.008,0,0,0,0,0,0,0,0,0,0,,0.656,1.28,1.601,1.746,1.86,1.783,1.717,1.811,1.401,0.568,0.355,0.148,0.083,0.021,0.021,0,0,0,0,0,0,0,0,0,0.578,2.97,0.793,,
"D - Test 2",2.142,2.179,1.981,2.179,1.783,1.604,1.491,1.257,0.385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.311,1.274,1.774,2.066,2.198,2.415,1.934,1.867,2.231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55,4.383,0.933,,
"D - Test 3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"D - Test 4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
